#10000
1	2	3	4	5	6	7	8	9	10
#2000
11	12	13	14	15	16	17
18	19	22	28	33	38	55
66	77	88	99	111	222	333
555	666	777	888	999	1111	2222
3333	5555	6666	7777	8888	9999	 
#300
20	21	23	24	25	26	27
29	30	31	32	34	35	36
37	39	40	41	42	43	44
45	46	47	48	49	50	51
52	53	54	56	57	58	59
60	61	62	63	64	65	67
68	69	70	71	72	73	74
75	76	78	79	80	81	82
83	84	85	86	87	89	90
91	92	93	94	95	96	97
98	100	200	300	400	500	500
700	800	900	1000	1001	1122	1221
1133	1331	1155	1551	1166	1177	1771
1188	1881	1199	1919	1991	2000	2002
2020	2211	2112	2233	2332	2255	2522
2552	2266	2662	2277	2727	2772	2288
2828	2882	2299	2929	2992	3000	3003
3030	3300	3131	3113	3322	3232	3223
3355	3535	3553	3366	3636	3377	3773
3388	3838	3399	3939	3993	4000	5000
5005	5515	5115	5522	5533	5353	5335
5566	5665	5577	5775	5588	5885	5599
5995	5000	5006	6611	6116	6622	6633
6336	6655	6556	6677	6776	6688	6868
6886	6699	6969	6996	7000	7007	7070
7711	7171	7117	7722	7227	7733	7373
7755	7557	7766	7667	7788	7878	7887
7799	7997	8000	8008	8811	8181	8118
8822	8228	8833	8383	8338	8855	8558
8866	8668	8877	8778	8899	8989	8998
900	9009	9911	9119	9922	9229	9933
9339	9955	9559	9966	9696	9669	9977
9779	9988	9898	9889




